GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Days-Rest-Home,Days-Rest-Away
20,7,13,0.35,48.3,42.8,90.1,0.474,11.4,30.7,0.371,16.5,20.9,0.791,11.8,31.5,43.3,25.8,14.2,7.1,5.0,4.8,20.2,19.1,113.4,-7.9,27,24,22,24,13,9,12,13,24,26,10,19,22,12,11,24,21,16,17,20,19,9,18,21,16,26,22,12,10,0.545,48.0,40.5,86.1,0.47,12.6,33.0,0.383,18.8,22.4,0.839,9.2,31.5,40.7,26.1,13.0,7.8,3.3,5.3,18.8,20.0,112.4,0.9,5,11,16,15,22,24,27,17,13,17,5,11,15,3,27,24,28,10,6,12,29,19,8,14,20,16,10,9
22,2,20,0.091,48.0,40.8,88.6,0.46,10.2,30.0,0.339,16.3,20.4,0.797,12.0,33.0,45.0,26.1,17.1,6.0,5.5,6.2,23.0,17.5,108.0,-10.2,5,30,30,30,22,21,20,23,28,28,27,23,26,8,10,12,9,11,29,30,14,27,30,30,28,29,20,12,8,0.6,48.0,48.1,94.7,0.508,14.8,38.9,0.381,17.5,22.1,0.792,9.6,30.5,40.1,30.2,12.6,7.9,6.4,6.0,22.3,19.1,128.4,3.5,27,11,7,10,22,1,1,1,4,5,6,16,16,11,24,29,29,1,3,11,4,25,29,21,1,8,9,9
22,15,7,0.682,48.0,41.5,86.5,0.479,10.2,29.5,0.346,21.4,27.9,0.768,10.9,32.7,43.5,25.5,15.2,8.6,5.5,5.0,21.8,23.3,114.5,4.9,5,3,3,3,22,18,26,8,28,30,25,3,2,22,16,19,20,18,25,5,13,13,26,1,13,5,22,13,9,0.591,48.2,41.8,87.3,0.478,11.2,32.3,0.348,16.5,21.2,0.777,10.5,34.1,44.6,25.4,14.6,8.0,5.0,5.0,19.1,19.3,111.3,0.7,5,9,10,12,20,15,24,9,25,21,23,19,21,18,19,7,12,20,21,9,17,12,10,18,22,17,9,9
21,14,7,0.667,48.2,42.5,89.0,0.477,11.9,31.9,0.374,24.0,28.3,0.848,12.3,32.9,45.1,25.5,13.3,8.5,6.1,6.1,20.2,20.3,120.9,7.1,14,5,3,5,14,10,17,10,19,23,8,1,1,2,7,16,8,19,9,6,5,26,20,10,4,4,21,3,18,0.143,48.0,44.1,91.1,0.484,11.9,34.0,0.349,16.2,20.7,0.786,8.3,30.5,38.8,27.9,13.7,7.9,5.0,5.5,20.0,18.4,116.3,-9.0,14,28,28,28,22,3,5,6,20,15,22,24,23,15,29,28,30,5,13,10,18,22,16,28,10,28,10,10
21,9,12,0.429,48.2,43.7,93.6,0.467,13.8,37.3,0.369,21.0,25.2,0.834,13.4,31.5,45.0,25.1,14.2,8.8,4.4,5.8,18.7,20.0,122.2,-0.2,14,21,20,21,14,5,2,20,8,10,12,4,6,4,2,23,10,22,18,3,24,24,7,15,2,19,23,14,9,0.609,48.0,44.0,90.2,0.488,11.5,31.5,0.364,14.0,19.8,0.71,11.1,33.0,44.1,29.7,12.6,6.9,5.1,5.0,19.2,18.9,113.6,3.0,1,5,10,8,22,4,10,4,23,25,15,30,28,30,12,14,15,2,4,22,15,13,11,24,14,13,9,9
21,12,9,0.571,48.0,40.3,89.6,0.45,13.4,35.7,0.377,17.9,24.0,0.746,13.4,32.6,46.0,23.5,13.2,7.7,3.0,5.5,17.5,21.0,112.0,3.3,14,11,10,13,22,25,16,26,9,12,7,14,12,26,3,20,5,28,8,15,30,22,2,5,21,11,22,9,13,0.409,48.5,42.0,90.8,0.463,11.0,33.2,0.332,16.0,21.8,0.735,12.7,33.1,45.9,28.3,14.3,7.7,4.6,5.3,18.6,18.6,111.0,-1.7,5,21,22,22,9,12,7,22,26,16,30,26,18,29,5,11,7,4,20,14,20,19,5,26,23,22,10,10
19,10,9,0.526,48.3,40.6,86.8,0.468,12.5,34.6,0.362,16.5,21.8,0.754,9.5,35.1,44.5,26.1,13.0,6.1,4.3,5.1,21.9,19.5,110.3,3.4,30,19,10,17,12,22,25,19,15,13,17,21,17,25,25,5,13,12,5,29,26,15,27,17,26,9,21,3,18,0.143,48.5,41.5,91.1,0.456,12.9,37.0,0.347,14.8,18.8,0.789,10.2,32.5,42.7,29.2,16.2,6.9,6.0,3.8,20.2,18.9,110.7,-12.0,14,28,28,28,6,17,5,24,11,11,24,29,30,14,22,21,22,3,28,24,7,1,17,23,25,30,9,10
21,6,15,0.286,48.2,39.3,90.2,0.435,12.8,38.3,0.333,14.9,19.1,0.779,10.5,31.5,42.0,23.9,14.3,7.8,6.5,6.8,21.1,18.8,106.2,-5.9,14,26,25,26,14,29,9,29,12,6,29,28,29,16,18,26,25,27,19,13,3,30,25,25,29,24,21,13,8,0.619,48.0,43.0,91.3,0.471,16.0,43.0,0.372,17.8,24.0,0.741,10.4,32.2,42.6,25.7,11.7,6.3,4.6,4.0,18.3,22.0,119.9,3.2,14,9,7,7,22,8,4,16,1,1,9,15,11,28,20,22,23,17,1,27,21,3,4,3,5,12,9,9
22,15,7,0.682,48.2,44.3,89.0,0.498,14.4,37.5,0.383,19.2,25.1,0.766,9.4,34.2,43.6,25.1,13.7,7.3,5.6,4.2,19.8,20.2,122.1,3.4,5,3,3,3,20,2,18,2,7,9,4,9,7,23,26,6,19,23,14,18,12,5,14,12,3,10,23,9,14,0.391,48.7,40.2,89.7,0.449,11.9,32.9,0.362,16.0,20.6,0.778,12.0,30.6,42.6,23.1,12.3,8.4,4.6,5.1,19.6,19.3,108.4,-4.1,1,21,24,23,4,28,15,27,18,18,18,25,24,17,9,27,24,29,2,7,23,16,13,19,27,23,9,9
23,12,11,0.522,48.0,41.8,88.0,0.475,10.8,30.7,0.351,19.1,25.3,0.757,11.1,32.9,44.0,26.0,13.7,8.3,4.4,5.2,20.2,20.6,113.5,-0.7,1,11,19,19,22,14,23,12,27,27,20,10,5,24,12,15,16,14,15,8,25,17,19,8,15,21,21,17,4,0.81,48.2,40.9,85.1,0.481,11.7,31.8,0.367,19.5,24.5,0.796,9.8,36.1,45.9,25.3,15.0,7.2,6.6,4.8,19.0,20.9,113.0,7.8,14,1,1,1,14,20,30,7,21,24,14,8,9,9,23,2,6,21,23,19,2,10,9,6,19,2,9,10
21,14,7,0.667,48.5,43.4,88.6,0.49,12.6,32.6,0.387,20.2,23.8,0.85,8.2,32.9,41.1,24.9,13.0,8.7,6.1,5.2,20.3,20.1,119.7,7.2,14,5,3,5,6,6,21,3,14,19,2,5,13,1,30,16,26,24,7,4,5,18,21,13,6,3,22,7,15,0.318,48.7,40.3,90.5,0.445,13.2,37.8,0.35,17.2,21.4,0.804,14.0,32.7,46.8,26.2,17.7,6.6,5.8,6.6,19.9,19.6,111.0,-8.7,5,24,25,25,2,27,8,28,10,8,21,17,20,6,1,18,4,9,30,25,10,29,15,16,24,27,9,9
20,12,8,0.6,48.5,41.8,90.2,0.464,14.7,41.5,0.354,18.1,24.3,0.745,11.0,33.0,44.0,27.3,13.7,7.4,4.0,4.6,20.8,20.3,116.4,-0.3,27,11,7,10,5,13,11,21,5,3,19,13,10,27,14,13,17,7,12,17,27,8,23,11,9,20,21,12,9,0.571,48.2,43.4,91.7,0.473,14.8,38.2,0.387,15.3,20.0,0.768,12.4,35.9,48.3,26.0,13.3,6.2,5.7,4.5,18.7,18.1,116.9,3.8,14,11,10,13,14,7,3,14,3,7,1,27,27,21,6,4,1,13,9,28,11,7,6,29,8,7,9,9
21,11,10,0.524,48.2,41.4,88.1,0.47,12.0,32.3,0.37,18.3,23.8,0.772,11.0,33.5,44.5,24.7,13.4,8.9,5.0,5.0,20.4,20.5,113.0,4.0,14,18,16,18,14,19,22,18,17,20,11,12,14,19,14,9,14,26,11,2,16,11,22,9,18,6,21,6,15,0.286,48.7,38.8,90.0,0.431,11.7,34.5,0.338,16.3,20.5,0.798,12.1,28.8,41.0,21.9,16.0,9.0,4.6,6.5,21.0,19.2,105.5,-6.9,14,26,25,26,1,30,13,30,21,14,28,22,25,7,8,30,27,30,27,1,21,28,24,20,30,25,10,9
